Number of simulations: 20
SNR, PHY mode 1; CP 4, PHY mode 1; CP 8, PHY mode 1; CP 16, PHY mode 1; CP 32, PHY mode 3; CP 4, PHY mode 3; CP 8, PHY mode 3; CP 16, PHY mode 3; CP 32, PHY mode 4; CP 4, PHY mode 4; CP 8, PHY mode 4; CP 16, PHY mode 4; CP 32, PHY mode 5; CP 4, PHY mode 5; CP 8, PHY mode 5; CP 16, PHY mode 5; CP 32, PHY mode 6; CP 4, PHY mode 6; CP 8, PHY mode 6; CP 16, PHY mode 6; CP 32, PHY mode 7; CP 4, PHY mode 7; CP 8, PHY mode 7; CP 16, PHY mode 7; CP 32, PHY mode 8; CP 4, PHY mode 8; CP 8, PHY mode 8; CP 16, PHY mode 8; CP 32, PHY mode 9; CP 4, PHY mode 9; CP 8, PHY mode 9; CP 16, PHY mode 9; CP 32, PHY mode 10; CP 4, PHY mode 10; CP 8, PHY mode 10; CP 16, PHY mode 10; CP 32, PHY mode 11; CP 4, PHY mode 11; CP 8, PHY mode 11; CP 16, PHY mode 11; CP 32, PHY mode 12; CP 4, PHY mode 12; CP 8, PHY mode 12; CP 16, PHY mode 12; CP 32, PHY mode 13; CP 4, PHY mode 13; CP 8, PHY mode 13; CP 16, PHY mode 13; CP 32, PHY mode 14; CP 4, PHY mode 14; CP 8, PHY mode 14; CP 16, PHY mode 14; CP 32
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4,1,1,1,1,0.97473,1,1,0.974877,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5,0.939035,1,0.947935,0.915218,0.925545,1,0.9751,0.949757,0.92506,1,0.974678,0.975235,1,1,1,0.950265,0.974972,1,1,0.950354,0.950081,1,1,0.925301,0.924789,1,0.975095,0.899844,0.925044,1,0.924609,0.95025,0.95028,1,0.950157,0.924891,0.924781,1,1,1,0.975012,1,0.975254,0.975099,0.97487,1,0.975083,0.950029,0.949942,1,1,0.949941
6,0.662192,0.937131,0.724194,0.652177,0.724919,0.975261,0.699884,0.849371,0.724293,0.949655,0.874366,0.800084,0.775891,0.950203,0.875852,0.924864,0.899727,0.949416,0.874536,0.80081,0.726222,1,0.77594,0.649382,0.750041,1,0.724977,0.825056,0.800772,0.924763,0.825027,0.899415,0.824935,0.949694,0.774709,0.775138,0.84965,0.925081,0.700061,0.700449,0.650059,0.975054,0.875288,0.725062,0.824611,0.97501,0.749917,0.825394,0.824943,0.975135,0.824364,0.724918
7,0.420252,0.524831,0.449531,0.388257,0.72419,0.774696,0.750357,0.700413,0.675014,0.726583,0.625174,0.650382,0.67512,0.774731,0.650144,0.699087,0.675369,0.799792,0.675366,0.599613,0.724905,0.749468,0.675084,0.675152,0.624194,0.700155,0.649835,0.725311,0.724874,0.700479,0.725696,0.725179,0.800469,0.825159,0.599619,0.62459,0.799905,0.824693,0.62522,0.750207,0.650251,0.750552,0.65,0.724694,0.700463,0.724851,0.67515,0.674546,0.700008,0.7003,0.774973,0.675575
8,0.354563,0.292933,0.343758,0.30774,0.675583,0.574514,0.673781,0.573711,0.650902,0.650873,0.525547,0.574873,0.675395,0.624988,0.625206,0.69868,0.800384,0.623703,0.600024,0.674007,0.7246,0.624963,0.599912,0.59928,0.599236,0.625122,0.624351,0.624724,0.625128,0.649779,0.574486,0.600033,0.675942,0.699797,0.624422,0.7251,0.625982,0.600489,0.600639,0.575105,0.625625,0.649718,0.624783,0.650013,0.625011,0.575371,0.649833,0.59999,0.650372,0.525219,0.725909,0.599708
9,0.252985,0.172125,0.117776,0.153463,0.575194,0.599952,0.55164,0.649973,0.674357,0.574964,0.498061,0.648871,0.675057,0.601908,0.649583,0.549676,0.674761,0.624732,0.575584,0.601061,0.599936,0.674392,0.548695,0.550328,0.625533,0.600088,0.600412,0.574343,0.650988,0.599796,0.55011,0.624785,0.600044,0.700419,0.575597,0.649271,0.575099,0.624379,0.550162,0.600192,0.64895,0.550311,0.550232,0.625555,0.649325,0.624855,0.599901,0.650214,0.625465,0.675221,0.600248,0.600185
10,0.151933,0.11197,0.241974,0.151957,0.624569,0.550517,0.549118,0.598282,0.650984,0.650156,0.549949,0.576398,0.700458,0.549357,0.550053,0.550857,0.60033,0.602168,0.600947,0.62553,0.57455,0.575871,0.500854,0.600347,0.650645,0.575523,0.549751,0.649862,0.524598,0.65011,0.624896,0.625104,0.600489,0.573971,0.599342,0.550675,0.574782,0.600353,0.624543,0.600493,0.649834,0.575613,0.575494,0.55042,0.59998,0.550211,0.574806,0.62522,0.624249,0.54988,0.574652,0.600042
11,0.207364,0.126872,0.0510103,0.22175,0.57617,0.499991,0.60018,0.578146,0.550391,0.575287,0.599008,0.600075,0.551298,0.525365,0.574268,0.600373,0.62552,0.573669,0.650402,0.574998,0.650741,0.600662,0.549539,0.600058,0.600584,0.54972,0.525269,0.624813,0.624818,0.548784,0.550492,0.649606,0.574936,0.550039,0.550227,0.625256,0.575114,0.55001,0.498539,0.549411,0.624728,0.649906,0.524994,0.549304,0.574404,0.549846,0.549708,0.549287,0.599836,0.525186,0.575186,0.599755
12,0.100564,0.0507166,0.100397,0.150656,0.624038,0.525026,0.573757,0.52412,0.574751,0.598505,0.524573,0.500588,0.574896,0.499569,0.601018,0.525031,0.625224,0.57698,0.649428,0.523877,0.623596,0.52536,0.499247,0.575243,0.600297,0.5496,0.524125,0.549534,0.524602,0.575385,0.524991,0.524555,0.549324,0.574852,0.524823,0.575218,0.575439,0.548249,0.599773,0.600071,0.699905,0.575393,0.549951,0.500376,0.550257,0.55015,0.500336,0.525569,0.599455,0.59934,0.524621,0.600049
13,0.200313,0.0718077,0.200421,0.20032,0.523252,0.548093,0.550694,0.525834,0.673874,0.575296,0.499964,0.501641,0.525142,0.49877,0.500299,0.525255,0.57382,0.525008,0.550416,0.598833,0.624332,0.54995,0.525571,0.525073,0.524366,0.550081,0.525249,0.525548,0.499842,0.500075,0.524892,0.499891,0.550199,0.599654,0.575948,0.575784,0.55078,0.55003,0.500301,0.574531,0.550373,0.525044,0.52523,0.549752,0.550983,0.52447,0.549928,0.50037,0.649702,0.525113,0.550094,0.524801
14,0.100104,0.000221508,0.100329,0.000277949,0.498185,0.501108,0.499214,0.525467,0.52548,0.549254,0.550033,0.497855,0.574365,0.549493,0.501072,0.524102,0.524062,0.524833,0.500976,0.526181,0.498705,0.501448,0.526038,0.501671,0.575368,0.52487,0.500568,0.5248,0.600073,0.499352,0.525094,0.49978,0.524091,0.500748,0.549662,0.574947,0.574844,0.548891,0.499516,0.549485,0.624584,0.524621,0.52514,0.549842,0.524891,0.499084,0.525669,0.524903,0.599486,0.52474,0.524767,0.525746
15,0.050199,0.125122,0.0502285,0.000204602,0.648796,0.522707,0.525734,0.523436,0.548764,0.502049,0.501197,0.525677,0.550407,0.499797,0.500294,0.526078,0.575327,0.500995,0.525135,0.550107,0.525118,0.57408,0.525064,0.52444,0.575629,0.52584,0.49911,0.550252,0.549539,0.500288,0.525168,0.499877,0.523903,0.499426,0.500601,0.524513,0.550087,0.549751,0.500011,0.499412,0.525256,0.500397,0.525526,0.550544,0.550037,0.49988,0.524875,0.525095,0.50065,0.523738,0.49971,0.549991
16,9.95072e-05,0.000199791,0.0501323,0.0501158,0.520859,0.519962,0.497502,0.496966,0.49849,0.498942,0.52494,0.524438,0.498453,0.499389,0.49981,0.52464,0.52558,0.525234,0.500623,0.549257,0.499936,0.525907,0.550373,0.524927,0.499995,0.500122,0.500523,0.525611,0.549937,0.499673,0.525427,0.499889,0.525129,0.500152,0.501718,0.550087,0.526236,0.524863,0.50027,0.525969,0.500805,0.524636,0.525037,0.525939,0.50042,0.524215,0.524453,0.500025,0.549672,0.499772,0.499913,0.550126
17,0.000113723,9.98958e-05,8.81976e-05,0.0501197,0.547005,0.497724,0.496432,0.521549,0.49839,0.523772,0.499711,0.498338,0.498993,0.501135,0.524981,0.498917,0.54919,0.499674,0.499723,0.499078,0.524588,0.500636,0.500148,0.525506,0.525325,0.524604,0.499477,0.500237,0.524375,0.525645,0.499746,0.499443,0.549594,0.524878,0.498849,0.499793,0.523623,0.525266,0.499948,0.499219,0.525625,0.500429,0.500147,0.500347,0.5998,0.49998,0.525093,0.500002,0.524869,0.524982,0.574435,0.50002
18,4.26459e-05,0.0501564,0.000112251,0.000108091,0.517897,0.494497,0.49353,0.495302,0.549279,0.5233,0.499441,0.498275,0.49904,0.499499,0.499629,0.499262,0.49923,0.499341,0.524755,0.499755,0.526985,0.500239,0.500555,0.499313,0.524854,0.499806,0.499976,0.524899,0.550463,0.500101,0.499797,0.500563,0.524719,0.523902,0.50085,0.525128,0.525286,0.500315,0.500277,0.525342,0.57491,0.499753,0.500582,0.500974,0.525084,0.500968,0.499435,0.499567,0.500909,0.525437,0.499236,0.499835
19,6.15997e-05,4.77762e-05,4.81078e-05,8.87894e-05,0.494266,0.494918,0.493197,0.494109,0.500146,0.498557,0.498927,0.499372,0.499564,0.498596,0.497991,0.497862,0.523894,0.499648,0.499844,0.499546,0.549685,0.49931,0.500409,0.500151,0.499483,0.500716,0.525287,0.524682,0.526195,0.523695,0.499253,0.500403,0.499618,0.499708,0.498658,0.499741,0.499234,0.499949,0.498946,0.500981,0.500933,0.498381,0.499977,0.499241,0.549815,0.49963,0.499362,0.525308,0.499712,0.525089,0.5,0.500083
